"geonames_kw","geonames_id","lc_kw","lc_id",,,,,
"Adampur",7646705,,,,,,,
"Ādilābād",1279344,"Adilabad (India)","n2007200836",,,,,
"Agar River",1279291,,,,,,,
"Agartala",1279290,"Agartala (India)","n81095633",,,,,
"Agatti Island",1279278,,,,,,,
"Agra",1279262,"Agra (India : District)","n79114634",,,,,
"Ahmadābād",1279234,"Ahmadābād (India : District)","n78019943",,,,,
"Ahu Nadī",1279215,,,,,,,
"Aizawl",7626588,,,,,,,
"Ajmer",1279160,"Ajmer (India)","n91054823",,,,,
"Aklera",1279115,,,,,,,
"Aklūj",1279113,,,,,,,
"Alībāg",1279027,"Alibag (India)","n89265169",,,,,
"Alīgarh",1279020,"Alīgarh (India : District)","n83156419",,,,,
"Allahābād",1278995,"Allahabad (India : District)","n85072194",,,,,
"Almora",1278975,"Almora (India : District)","n85081975",,,,,
"Alwar",1278947,"Alwar (India : District)","n83009287",,,,,
"Ambāla",1278861,"Ambāla (India : District)","n88080544",,,,,
"Ambattūr",1278840,,,,,,,
"Ambikā River",1278826,,,,,,,
"Amrāvati",1278719,"Amrāvati (India : District)","no2005000085",,,,,
"Amritsar",1278711,"Amritsar (India : District)","n83030714",,,,,
"Āmūr",1278697,,,,,,,
"Anand",7627221,"Anand (India : District)","n2008050108",,,,,
"Andaman",1278648,"Andaman Islands (India)","sh96007926",,,,,
"Andaman and Nicobar Islands",1278647,"Andaman and Nicobar Islands (India)","n81023398",,,,,
"Andhāri",1278638,,,,,,,
"Andhāri River",1278637,,,,,,,
"Andhra Pradesh",1278629,"Andhra Pradesh (India)","n79110399",,,,,
"Andrōth Island",1278616,,,,,,,
"Anjan Nadī",1278575,,,,,,,
"Anjuna",1278566,"Anjuna (India)","n88001410",,,,,
"Antāgarh",1278530,,,,,,,
"Ara",1278483,"Ara (India)","n88124350",,,,,
"Araku",1278470,"Araku (India)","n2009216218",,,,,
"Arāria",7626569,"Araria (India : District)","no2002074810",,,,,
"Arna River",1278381,,,,,,,
"Arpa River",1278360,,,,,,,
"Arunāchal Pradesh",1278341,"Arunāchal Pradesh (India)","n80067460",,,,,
"Asifābād",1278282,,,,,,,
"Asola Mendha Tank",1278265,,,,,,,
"Assam",1278253,"Assam (India)","n79090160",,,,,
"Ātmakūr",1278202,,,,,,,
"Attur",1278173,,,,,,,
"Aurangabad District",1278151,"Aurangābād (Maharashtra, India : District)","n84163901",,,,,
"Bāba Bakāla",1278077,,,,,,,
"Bābra",1278054,,,,,,,
"Bāda",7746355,,,,,,,
"Badarīnāth",1278010,"Badarīnāth (India)","n82151441",,,,,
"Badgom",1277997,,,,,,,
"Bagaha",1277940,"Bagaha (India : Division)","n89263784",,,,,
"Bāgh",1277905,"Bagh (India)","n93035901",,,,,
"Bāgūr",1277842,,,,,,,
"Bāhuda River",1277791,,,,,,,
"Bajaura",1277724,,,,,,,
"Bājengdoba",1277721,,,,,,,
"Bālāghāt",1277662,"Bālāghāt (India : District)","n83020430",,,,,
"Balarāmpur",1277634,,,,,,,
"Bāleshwar",1277600,"Balasore (India : District)","n88147464",,,,,
"Bāli",1277539,"Bally (India)","n84025845",,,,,
"Bāligurha",1277576,,,,,,,
"Bālkonda",1277560,"Balkonda (India)","n89280166",,,,,
"Bāmni Nadī",1277452,,,,,,,
"Banās River",1277414,,,,,,,
"Bāndi Nadī",1277360,,,,,,,
"Bangalore",1277333,"Bangalore (India) ","n79127101",,,,,
"Bānki",1277273,,,,,,,
"Bānkurā",1277265,"Bānkurā (India : District)","n82109041",,,,,
"Bānsgaon",1277235,,,,,,,
"Bānswāra",1277215,"Bānswāra (India : District)","n84018079",,,,,
"Barādi Māta Creek",1277140,,,,,,,
"Barāk River",1277099,,,,,,,
"Bāramūla",1277086,"Bāramūla (India : District)","n82166786",,,,,
"Barāra",6993128,,,,,,,
"Bareilly",1277014,"Bareilly (India : District)","n87853333",,,,,
"Barharwā",1276961,"Barharwa (India)","no2002076423",,,,,
"Barjala",1276938,,,,,,,
"Barki Nadī",1276920,,,,,,,
"Bārmer",1276902,"Bārmer (India : District)","n89291246",,,,,
"Bārna Nadi",8457418,,,,,,,
"Barsi",1441502,,,,,,,
"Bārvi",1276821,,,,,,,
"Bassi",1276744,,,,,,,
"Basta",1276742,,,,,,,
"Bastar",1276739,"Bastar (India : District)","n83313074",,,,,
"Baswa",1276724,,,,,,,
"Bavarwala Nār",1276671,,,,,,,
"Beās River",1276635,"Beās River (India)","sh94001828",,,,,
"Bedi Bundar Creek",1276626,,,,,,,
"Bedti River",1276622,,,,,,,
"Behari Khāl",1276603,,,,,,,
"Bellary",1276510,"Bellary (India : District)","n82027809",,,,,
"Belonia",1276502,,,,,,,
"Beohāri",1276455,,,,,,,
"Berach River",1276453,,,,,,,
"Berubāri",1276427,,,,,,,
"Bettiah",1276393,"Bettiah (India)","n89166220",,,,,
"Betūl",1276391,"Betūl (India : District)","n89105127",,,,,
"Betwa River",1276386,"Betwa River (India)","sh90000804",,,,,
"Bhādar River",1276360,,,,,,,
"Bhāgalpur",1276301,"Bhāgalpur (India : District)","n81108245",,,,,
"Bhāgīrathi River",1276294,,,,,,,
"Bhairamgarh",1276258,,,,,,,
"Bhākra Dam",1276238,,,,,,,
"Bhandāra",1276192,"Bhandāra (India : District)","n83020432",,,,,
"Bhandarel",1276188,,,,,,,
"Bhānupratāppur",1333553,,,,,,,
"Bhareli River",1276122,,,,,,,
"Bharūch",1276101,"Bharūch (India : District)","n83312388",,,,,
"Bhattu Khurd",1276053,,,,,,,
"Bhāvnagar",1276033,"Bhāvnagar (India : District)","n80160689",,,,,
"Bhayandar",1276014,,,,,,,
"Bhīlwāra",1275961,"Bhīlwāra (India : District)","n89284170",,,,,
"Bhiwandi",1275901,"Bhiwandi (India)","n85044956",,,,,
"Bhiwani",1275900,"Bhiwani (India : District)","n87914770",,,,,
"Bhogāva River",1275888,,,,,,,
"Bhojpur",8432808,"Bhojpur (Madhya Pradesh, India)","n89204440",,,,,
"Bhokar",1275864,,,,,,,
"Bhopāl",1275842,"Bhopal (India : District)","n89146080",,,,,
"Bhopālgarh",1276905,,,,,,,
"Bhubaneshwar",1275817,"Bhubaneswar (India)","n80025998",,,,,
"Bhugai River",1208797,,,,,,,
"Bhuj",1275812,"Bhuj (India)","n82251410",,,,,
"Bhūkhi-Bhādar River",1275806,,,,,,,
"Bhusāwal",1275778,,,,,,,
"Bideipur",1275734,,,,,,,
"Bihār",1275715,"Bihar (India)","n79077375",,,,,
"Bījāpur",1275700,,,,,,,
"Bīkāner",1275666,"Bīkāner (India : District)","n89250061",,,,,
"Bilāspur",1275639,,,,,,,
"Bīna",6990539,"Bina (India)","no2003014476",,,,,
"Binnāguri",1275549,,,,,,,
"Birmitrapur",1275506,,,,,,,
"Birpara",7284803,,,,,,,
"Bodalkasa Tank",1275397,,,,,,,
"Bodhan",1275391,,,,,,,
"Boglia River",1275381,,,,,,,
"Boinu River",1275371,,,,,,,
"Bokāro",7701427,"Bokaro (India : District)","n2009200258",,,,,
"Bomdila",1275334,"Bomdila (India)","n89273930",,,,,
"Bor River",1275231,,,,,,,
"Borāwar",1275302,,,,,,,
"Bori",1275270,,,,,,,
"Bori River",1275250,,,,,,,
"Both",1275216,,,,,,,
"Brāhmani River",1275204,"Brahmani River (Orissa, India)","sh89005278",,,,,
"Brahmapur",1275198,"Brahmapur (India)","n82162996",,,,,
"Brahmaputra River",1208092,"Brahmaputra River","sh85016307",,,,,
"Būndi",1275104,"Bundi (India : District)","no2004086752",,,,,
"Calangute",1273858,,,,,,,
"Cannanore",1274988,"Cannanore (India : District)","n82103542",,,,,
"Car Nicobar Island",1274969,"Car Nicobar Island (India)","sh96008264",,,,,
"Chakra Nadī",1274888,,,,,,,
"Chambal River",1274846,"Chambal River (India)","sh85022419",,,,,
"Chambla Nadī",1274845,,,,,,,
"Chandīgarh",1274744,"Chandīgarh (India : Union Territory)","n81109268",,,,,
"Chandni Chowk",6619404,"Chandni Chowk (Delhi, India)","no2004006256",,,,,
"Chāndpur Tank",1274712,,,,,,,
"Chandrabhāga River",1274710,,,,,,,
"Chandragiri River",1274704,,,,,,,
"Chārgaon",1274582,,,,,,,
"Chautang Nadī",1274473,,,,,,,
"Chavara",1274466,,,,,,,
"Chenāb River",1115005,"Chenāb River (India and Pakistan)","sh2002005758",,,,,
"Chennai",7646145,"Chennai (India : District)","n2012073877",,,,,
"Cheyyur",1274383,,,,,,,
"Chhāpi Nadī",1274355,,,,,,,
"Chhapra",1274353,,,,,,,
"Chhatar Nār",1430581,,,,,,,
"Chhatarpur",1274339,,,,,,,
"Chhattisgarh",1444364,"Chhattīsgarh (India)","n84025797",,,,,
"Chinnūr",1274142,,,,,,,
"Chitarpu",1274073,,,,,,,
"Chitrakot",1274054,,,,,,,
"Chittorgarh",1274041,"Chittaurgarh (India)","n82007235",,,,,
"Chittūr",1274032,"Chittur (India)","n88292165",,,,,
"Chorkhamāra Tank",1273974,,,,,,,
"Chūlband River",1273939,,,,,,,
"Chūru",1273894,"Churu (India)","n82143148",,,,,
"Coimbatore",1273866,"Coimbatore (India : District)","n82241163",,,,,
"Curtorim",1273783,,,,,,,
"Cuttack",1273781,"Cuttack (India : District)","n84025790",,,,,
"Dabhel",1273770,,,,,,,
"Dādra",1273727,,,,,,,
"Dādra and Nagar Haveli",1273726,"Dādra and Nagar Haveli (India)","n81033273",,,,,
"Dalhousie",1273648,"Dalhousie (India)","n79126622",,,,,
"Dam Dam",1272243,"Dum Dum (India)","no2002071243",,,,,
"Damān and Diu",1271155,"Daman and Diu (India)","n89102023",,,,,
"Dāmodar River",1273590,"Damodar River (India)","sh97006046",,,,,
"Darbhanga",1273492,"Darbhanga (India : District)","n88123873",,,,,
"Daria",1273477,,,,,,,
"Darjeeling",1273468,"Darjeeling (India : District)","n85044864",,,,,
"Dāspur",1273413,,,,,,,
"Debagrām",1273353,,,,,,,
"Dehār Nadī",1273323,,,,,,,
